Week-1,Week-2,Week-3,Week-4,Week-5,Week-6,Week-7,Week-8,Week-9,Week-10,Week-11,Week-12,Week-13,Week-14,Week-15,Week-16,Week-17,Week-18,Week-19,Week-20,Week-21,Week-22,Week-23,Week-24,Week-25,Week-26,Week-27,Week-28,Week-29,Week-30,Week-31,Week-32,Week-33,Week-34,Week-35,Week-36,Week-37,Week-38,Week-39,Week-40,Week-41,Week-42,Week-43,Week-44,Week-45,Week-46,Week-47,Week-48,Week-49,Week-50,Week-51,Week-52,Week-53
86.0,68.0,25.0,48.0,14.0,62.0,57.0,42.0,47.0,89.0,70.0,67.0,309.0,7.0,28.0,8.0,54.0,27.0,5.0,13.0,21.0,20.0,1.0,28.0,31.0,38.0,14.0,8.0,27.0,48.0,6.0,0.0,9.0,26.0,55.0,32.0,12.0,9.0,51.0,81.0,17.0,69.0,159.0,94.0,3.0,50.0,59.0,36.0,8.0,70.0,89.0,99.0,168.0
3.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,3.0,0.0,1.0,1.0,1.0,0.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,6.0,1.0,1.0,0.0,1.0,4.0,2.0,1.0,1.0,3.0,3.0,4.0,0.0,5.0,6.0,6.0,0.0,1.0,6.0,6.0,3.0
1.0,5.0,3.0,6.0,4.0,5.0,6.0,4.0,3.0,2.0,4.0,3.0,6.0,0.0,1.0,3.0,3.0,8.0,8.0,18.0,20.0,19.0,11.0,12.0,36.0,30.0,17.0,20.0,21.0,16.0,24.0,11.0,27.0,19.0,11.0,8.0,8.0,16.0,23.0,5.0,1.0,5.0,3.0,3.0,0.0,0.0,3.0,6.0,0.0,1.0,5.0,2.0,2.0
10.0,12.0,9.0,14.0,6.0,9.0,10.0,7.0,12.0,12.0,10.0,10.0,6.0,4.0,7.0,13.0,13.0,13.0,11.0,20.0,24.0,25.0,15.0,20.0,20.0,17.0,19.0,35.0,22.0,27.0,19.0,7.0,19.0,20.0,10.0,5.0,11.0,13.0,15.0,8.0,5.0,13.0,10.0,12.0,1.0,13.0,10.0,12.0,1.0,4.0,13.0,12.0,10.0
1353.0,413.0,1460.0,531.0,880.0,183.0,253.0,417.0,712.0,262.0,209.0,38.0,24.0,9.0,1.0,1.0,2.0,13.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,610.0,299.0,154.0,641.0,3239.0,598.0,208.0,237.0,968.0,106.0,103.0
3.0,3.0,2.0,2.0,3.0,2.0,8.0,5.0,6.0,4.0,3.0,7.0,7.0,3.0,2.0,13.0,10.0,18.0,13.0,13.0,26.0,16.0,5.0,16.0,20.0,20.0,9.0,12.0,17.0,35.0,24.0,11.0,22.0,13.0,6.0,8.0,6.0,10.0,14.0,2.0,1.0,3.0,5.0,1.0,1.0,5.0,6.0,8.0,0.0,1.0,5.0,4.0,2.0
50.0,77.0,10.0,74.0,79.0,35.0,53.0,47.0,137.0,216.0,444.0,268.0,102.0,24.0,36.0,152.0,88.0,103.0,61.0,60.0,65.0,56.0,42.0,41.0,35.0,71.0,77.0,19.0,101.0,65.0,157.0,86.0,397.0,72.0,411.0,128.0,102.0,494.0,72.0,20.0,38.0,14.0,468.0,16.0,0.0,9.0,202.0,22.0,6.0,77.0,58.0,12.0,68.0
1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,7.0,18.0,11.0,0.0,7.0,8.0,10.0,7.0,5.0,9.0,23.0,18.0,8.0,12.0,19.0,11.0,1.0,2.0,8.0,4.0,2.0,0.0,5.0,9.0,2.0,0.0,3.0,2.0,4.0,0.0,0.0,2.0,3.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,72.0,5.0,34.0,26.0,21.0,0.0,5.0,16.0,14.0,1.0,1.0,1.0,13.0,3.0,5.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
685.0,221.0,141.0,79.0,290.0,183.0,270.0,95.0,368.0,194.0,197.0,168.0,1171.0,170.0,100.0,62.0,61.0,61.0,12.0,29.0,21.0,22.0,8.0,26.0,29.0,16.0,5.0,4.0,39.0,22.0,4.0,12.0,30.0,149.0,37.0,1457.0,77.0,436.0,145.0,125.0,20.0,141.0,241.0,133.0,1.0,49.0,152.0,109.0,22.0,97.0,95.0,193.0,57.0
99.0,77.0,37.0,30.0,65.0,29.0,43.0,26.0,7.0,15.0,13.0,22.0,67.0,3.0,35.0,25.0,34.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,31.0,49.0,24.0,0.0,27.0,25.0,58.0,9.0,31.0,31.0,44.0,2.0,0.0,93.0,80.0,37.0,0.0,35.0,8.0,33.0,30.0,19.0,48.0,30.0,56.0
18.0,36.0,29.0,110.0,30.0,43.0,15.0,38.0,69.0,18.0,34.0,26.0,22.0,2.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,7.0,0.0,6.0,7.0,47.0,2.0,61.0,81.0,10.0,4.0
