Week-1,Week-2,Week-3,Week-4,Week-5,Week-6,Week-7,Week-8,Week-9,Week-10,Week-11,Week-12,Week-13,Week-14,Week-15,Week-16,Week-17,Week-18,Week-19,Week-20,Week-21,Week-22,Week-23,Week-24,Week-25,Week-26,Week-27,Week-28,Week-29,Week-30,Week-31,Week-32,Week-33,Week-34,Week-35,Week-36,Week-37,Week-38,Week-39,Week-40,Week-41,Week-42,Week-43,Week-44,Week-45,Week-46,Week-47,Week-48,Week-49,Week-50,Week-51,Week-52
0.0,3.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,18.0,3.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,3.0,5.0,7.0,6.0,0.0,1.0,1.0,4.0,6.0,4.0,4.0,3.0,6.0,3.0,1.0,2.0,5.0,5.0,11.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,4.0,4.0,7.0,4.0,2.0,2.0,3.0,2.0,0.0,2.0,2.0,3.0,0.0,3.0,5.0,4.0,6.0,7.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,4.0,3.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,3.0,5.0,24.0,31.0,22.0,29.0,23.0,24.0,18.0,28.0,21.0,32.0,31.0,19.0,14.0,15.0,11.0,16.0,18.0,30.0,15.0,11.0,9.0,16.0,9.0,5.0,4.0,3.0,2.0,4.0,6.0,7.0,4.0,5.0,11.0,4.0,2.0
15.0,7.0,17.0,14.0,10.0,10.0,8.0,10.0,9.0,17.0,13.0,7.0,9.0,9.0,8.0,12.0,19.0,14.0,15.0,18.0,33.0,27.0,30.0,27.0,28.0,23.0,30.0,40.0,28.0,28.0,18.0,20.0,29.0,26.0,17.0,24.0,15.0,10.0,18.0,13.0,10.0,12.0,17.0,12.0,13.0,9.0,10.0,10.0,16.0,5.0,7.0,11.0
75.0,426.0,1013.0,525.0,404.0,181.0,212.0,90.0,157.0,101.0,496.0,301.0,186.0,31.0,183.0,41.0,40.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,7.0,7.0,2.0,3.0,3.0,3.0,2.0,4.0,5.0,2.0,0.0,1.0,0.0,0.0,11.0,0.0,28.0,399.0,537.0,263.0,447.0,601.0,790.0,716.0,217.0,493.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,4.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0
3.0,8.0,4.0,4.0,5.0,8.0,5.0,6.0,0.0,3.0,6.0,5.0,6.0,7.0,7.0,5.0,16.0,14.0,20.0,30.0,21.0,22.0,15.0,12.0,11.0,19.0,19.0,21.0,21.0,15.0,31.0,17.0,14.0,15.0,17.0,34.0,16.0,5.0,7.0,7.0,4.0,1.0,6.0,5.0,4.0,2.0,6.0,8.0,4.0,4.0,7.0,26.0
36.0,8.0,29.0,17.0,58.0,36.0,15.0,27.0,21.0,26.0,107.0,39.0,22.0,105.0,54.0,36.0,41.0,53.0,63.0,27.0,37.0,24.0,42.0,35.0,35.0,62.0,33.0,37.0,118.0,89.0,190.0,33.0,103.0,514.0,123.0,55.0,68.0,536.0,346.0,18.0,15.0,93.0,18.0,608.0,4.0,173.0,230.0,13.0,148.0,18.0,94.0,73.0
6.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,2.0,3.0,10.0,5.0,18.0,7.0,7.0,16.0,29.0,16.0,8.0,8.0,8.0,11.0,11.0,13.0,14.0,12.0,11.0,17.0,8.0,7.0,14.0,10.0,6.0,7.0,6.0,2.0,5.0,10.0,7.0,5.0,4.0,1.0,2.0,2.0,3.0,5.0,2.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,43.0,21.0,8.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,7.0,39.0,7.0,4.0,3.0,9.0,10.0,14.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103.0,113.0,50.0,189.0,131.0,120.0,159.0,67.0,67.0,102.0,122.0,410.0,314.0,165.0,166.0,168.0,50.0,28.0,30.0,17.0,23.0,14.0,34.0,22.0,25.0,27.0,14.0,33.0,6.0,33.0,56.0,36.0,96.0,2523.0,57.0,708.0,157.0,110.0,98.0,87.0,173.0,123.0,95.0,145.0,180.0,121.0,91.0,98.0,153.0,452.0,160.0,371.0
6.0,13.0,40.0,45.0,21.0,42.0,6.0,4.0,16.0,7.0,11.0,3.0,17.0,11.0,5.0,11.0,6.0,10.0,1.0,1.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,9.0,15.0,16.0,12.0,19.0,11.0,6.0,42.0,58.0,11.0,35.0,17.0,56.0,13.0,33.0,34.0,33.0,13.0,62.0,44.0,51.0,61.0,39.0,8.0,46.0
29.0,14.0,50.0,30.0,33.0,19.0,16.0,59.0,28.0,24.0,12.0,12.0,4.0,5.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,7.0,14.0,5.0,12.0,18.0,6.0,3.0,64.0,103.0,47.0,34.0
