Week-1,Week-2,Week-3,Week-4,Week-5,Week-6,Week-7,Week-8,Week-9,Week-10,Week-11,Week-12,Week-13,Week-14,Week-15,Week-16,Week-17,Week-18,Week-19,Week-20,Week-21,Week-22,Week-23,Week-24,Week-25,Week-26,Week-27,Week-28,Week-29,Week-30,Week-31,Week-32,Week-33,Week-34,Week-35,Week-36,Week-37,Week-38,Week-39,Week-40,Week-41,Week-42,Week-43,Week-44,Week-45,Week-46,Week-47,Week-48,Week-49,Week-50,Week-51,Week-52
4.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,3.0,3.0
53.0,58.0,38.0,51.0,37.0,98.0,92.0,13.0,63.0,51.0,43.0,26.0,76.0,33.0,28.0,26.0,39.0,26.0,28.0,86.0,28.0,27.0,44.0,41.0,74.0,23.0,42.0,34.0,25.0,32.0,29.0,62.0,28.0,47.0,61.0,40.0,60.0,61.0,13.0,49.0,16.0,81.0,69.0,106.0,53.0,65.0,88.0,65.0,34.0,49.0,67.0,50.0
9.0,7.0,7.0,9.0,7.0,6.0,8.0,8.0,7.0,7.0,9.0,7.0,7.0,7.0,9.0,8.0,7.0,9.0,11.0,9.0,10.0,7.0,8.0,9.0,10.0,10.0,10.0,6.0,8.0,9.0,9.0,10.0,7.0,7.0,7.0,9.0,8.0,10.0,11.0,7.0,9.0,11.0,10.0,9.0,8.0,7.0,7.0,8.0,8.0,8.0,7.0,8.0
1162.0,1299.0,905.0,50.0,393.0,91.0,1750.0,391.0,166.0,756.0,60.0,87.0,18.0,247.0,247.0,33.0,245384.0,382.0,98.0,5.0,2.0,6.0,4.0,62.0,6.0,8.0,1958.0,128.0,1177.0,277.0,74.0,94.0,87.0,417.0,407.0,513.0,46.0,250.0,250.0,107.0,2909.0,1234.0,316.0,1248.0,42.0,323.0,7.0,1165.0,186.0,508.0,103.0,101.0
11.0,11.0,29.0,17.0,59.0,14.0,7.0,11.0,11.0,12.0,12.0,9.0,6.0,28.0,23.0,35.0,6.0,7.0,7.0,5.0,4.0,5.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,2.0,31.0,15.0,12.0,10.0,13.0,32.0,8.0,34.0,10.0,18.0,27.0,60.0,14.0,65.0,12.0
120.0,152.0,0.0,30.0,30.0,75.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,2.0,0.0,20.0,21.0,4.0,0.0,6.0,7.0,6.0,8.0,27.0,22.0,6.0,13.0,32.0,23.0,7.0,19.0,16.0,37.0,7.0,0.0,1.0,3.0,33.0,0.0,5.0,0.0,40.0,2.0,4.0,20.0,0.0,200.0,40.0,0.0,0.0,0.0
42.0,3.0,20.0,64.0,43.0,16.0,91.0,30.0,5.0,191.0,37.0,14.0,165.0,53.0,4.0,1.0,116.0,6.0,9.0,6.0,40.0,5.0,30.0,12.0,16.0,22.0,16.0,16.0,11.0,12.0,17.0,15.0,5.0,7.0,13.0,10.0,79.0,9.0,11.0,10.0,5.0,50.0,83.0,108.0,69.0,48.0,8.0,150.0,30.0,81.0,140.0,101.0
59.0,9.0,11.0,18.0,91.0,9.0,65.0,607.0,38.0,53.0,10.0,21.0,49.0,9.0,17.0,26.0,20.0,8.0,13.0,8.0,12.0,8.0,11.0,26.0,8.0,6.0,5.0,6.0,7.0,6.0,16.0,16.0,6.0,8.0,6.0,9.0,50.0,6.0,7.0,8.0,5.0,7.0,11.0,8.0,26.0,27.0,21.0,13.0,17.0,46.0,58.0,77.0
11.0,62.0,22.0,53.0,52.0,62.0,18.0,46.0,24.0,33.0,13.0,37.0,51.0,24.0,30.0,32.0,19.0,5.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,37.0,75.0,24.0,19.0,9.0,27.0,33.0,25.0,30.0,44.0,45.0,20.0,22.0,43.0,26.0,68.0,17.0,10.0,45.0,13.0,21.0,35.0,85.0,23.0,63.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,3.0,2.0,2.0,2.0,6.0,3.0,6.0,3.0,6.0,4.0,1.0,4.0,4.0,5.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
41.0,45.0,430.0,9.0,3.0,8.0,116.0,6.0,48.0,14.0,10.0,21.0,0.0,6.0,6.0,1.0,2.0,4.0,2.0,1.0,16.0,1.0,3.0,0.0,0.0,0.0,78.0,1.0,5.0,13.0,15.0,9.0,6.0,5.0,6.0,13.0,23.0,12.0,9.0,3.0,5.0,0.0,1.0,1.0,1.0,5.0,6.0,8.0,2.0,0.0,2.0,2.0
353.0,261.0,169.0,133.0,120.0,424.0,271.0,214.0,3.0,141.0,377.0,254.0,192.0,120.0,88.0,301.0,96.0,245.0,278.0,1868.0,62.0,27.0,7.0,8.0,0.0,0.0,8.0,23.0,34.0,291.0,971.0,177.0,129.0,640.0,200.0,56.0,481.0,50.0,110.0,333.0,871.0,191.0,286.0,244.0,312.0,86.0,321.0,484.0,90.0,69.0,222.0,123.0
11.0,16.0,12.0,11.0,11.0,11.0,9.0,13.0,8.0,10.0,8.0,10.0,45.0,26.0,14.0,12.0,24.0,14.0,31.0,21.0,24.0,15.0,23.0,29.0,12.0,22.0,40.0,31.0,22.0,40.0,84.0,20.0,39.0,25.0,31.0,29.0,50.0,25.0,28.0,20.0,28.0,17.0,37.0,18.0,9.0,22.0,18.0,11.0,16.0,15.0,8.0,10.0
64.0,58.0,23.0,1034.0,32.0,61.0,203.0,48.0,40.0,142.0,30.0,109.0,106.0,41.0,45.0,32.0,56.0,39.0,28.0,23.0,23.0,40.0,13.0,29.0,50.0,28.0,3.0,19.0,13.0,19.0,16.0,7.0,10.0,12.0,3.0,50.0,26.0,21.0,40.0,71.0,50.0,112.0,82.0,79.0,81.0,63.0,127.0,18.0,63.0,50.0,127.0,54.0
4.0,1.0,2.0,1.0,2.0,1.0,2.0,6.0,1.0,0.0,1.0,1.0,1.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,15.0,4.0,7.0,7.0,8.0,4.0,3.0,2.0,7.0,4.0,5.0,6.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,7.0,7.0,2.0,2.0,5.0,4.0,4.0,6.0
1.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,3.0,0.0,0.0,2.0,12.0,22.0,11.0,16.0,18.0,18.0,18.0,53.0,23.0,24.0,18.0,15.0,21.0,14.0,20.0,15.0,11.0,25.0,20.0,24.0,20.0,10.0,7.0,5.0,4.0,0.0,2.0,3.0,1.0,1.0,1.0,0.0,2.0,2.0,5.0
14.0,11.0,8.0,15.0,9.0,7.0,7.0,17.0,21.0,10.0,22.0,7.0,8.0,11.0,7.0,14.0,7.0,10.0,25.0,12.0,19.0,35.0,12.0,19.0,29.0,24.0,28.0,33.0,12.0,20.0,23.0,13.0,26.0,16.0,15.0,11.0,11.0,17.0,13.0,28.0,16.0,18.0,14.0,10.0,10.0,12.0,10.0,14.0,5.0,26.0,7.0,12.0
6279.0,570.0,917.0,448.0,151.0,293.0,2051.0,276.0,184.0,43.0,31.0,63.0,29.0,46.0,2.0,4.0,11.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,7.0,1.0,28.0,249.0,230.0,1820.0,506.0,456.0,578.0,1176.0,1679.0
7.0,10.0,6.0,9.0,7.0,6.0,3.0,5.0,5.0,6.0,8.0,7.0,5.0,3.0,8.0,7.0,9.0,12.0,24.0,77.0,30.0,17.0,17.0,24.0,14.0,13.0,8.0,12.0,23.0,27.0,19.0,8.0,16.0,12.0,18.0,18.0,12.0,6.0,5.0,6.0,5.0,4.0,1.0,6.0,3.0,3.0,2.0,4.0,7.0,3.0,1.0,3.0
92.0,95.0,48.0,26.0,5.0,57.0,30.0,28.0,31.0,118.0,57.0,40.0,159.0,64.0,50.0,67.0,40.0,95.0,67.0,91.0,87.0,58.0,233.0,71.0,99.0,159.0,200.0,52.0,70.0,164.0,51.0,200.0,110.0,67.0,45.0,21.0,125.0,17.0,90.0,46.0,17.0,14.0,34.0,4.0,22.0,34.0,14.0,19.0,43.0,57.0,3.0,55.0
