Week-1,Week-2,Week-3,Week-4,Week-5,Week-6,Week-7,Week-8,Week-9,Week-10,Week-11,Week-12,Week-13,Week-14,Week-15,Week-16,Week-17,Week-18,Week-19,Week-20,Week-21,Week-22,Week-23,Week-24,Week-25,Week-26,Week-27,Week-28,Week-29,Week-30,Week-31,Week-32,Week-33,Week-34,Week-35,Week-36,Week-37,Week-38,Week-39,Week-40,Week-41,Week-42,Week-43,Week-44,Week-45,Week-46,Week-47,Week-48,Week-49,Week-50,Week-51,Week-52
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,2.0,5.0,6.0,7.0,7.0,1.0,2.0
16.0,23.0,68.0,48.0,61.0,34.0,27.0,26.0,67.0,40.0,40.0,75.0,56.0,39.0,51.0,69.0,63.0,27.0,50.0,26.0,39.0,88.0,43.0,52.0,86.0,19.0,19.0,74.0,61.0,50.0,50.0,51.0,40.0,163.0,118.0,140.0,61.0,100.0,238.0,17.0,136.0,253.0,217.0,46.0,44.0,39.0,103.0,64.0,63.0,31.0,57.0,32.0
7.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0,9.0,7.0,9.0,10.0,9.0,8.0,7.0,7.0,9.0,11.0,8.0,12.0,11.0,11.0,8.0,11.0,8.0,7.0,12.0,11.0,12.0,9.0,9.0,11.0,12.0,10.0,8.0,7.0,7.0,8.0,9.0,7.0,11.0,6.0,9.0,7.0,9.0,9.0,8.0,6.0,8.0,9.0,9.0,8.0
210.0,1256.0,299.0,2191.0,243.0,29.0,689.0,743.0,1195.0,602.0,258.0,7.0,107.0,47.0,26.0,1218.0,850.0,610.0,80.0,24.0,4.0,11.0,0.0,8.0,216.0,245.0,391.0,814.0,280.0,45.0,43.0,222.0,386.0,281.0,74.0,395.0,38.0,98.0,339.0,33.0,447.0,3225.0,656.0,63.0,2306.0,331.0,470.0,205.0,3014.0,59.0,436.0,50.0
6.0,13.0,23.0,44.0,32.0,21.0,84.0,40.0,10.0,25.0,26.0,9.0,12.0,18.0,21.0,6.0,10.0,2.0,5.0,8.0,1.0,0.0,0.0,0.0,6.0,2.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,5.0,5.0,5.0,12.0,20.0,13.0,8.0,43.0,20.0,7.0,37.0,13.0,10.0,13.0,41.0,25.0
1.0,2.0,3.0,40.0,15.0,30.0,3.0,0.0,47.0,0.0,205.0,0.0,10.0,0.0,16.0,19.0,12.0,12.0,6.0,2.0,18.0,19.0,22.0,1.0,14.0,5.0,12.0,18.0,25.0,10.0,24.0,15.0,12.0,14.0,7.0,50.0,33.0,18.0,0.0,30.0,6.0,2.0,4.0,0.0,0.0,29.0,0.0,0.0,20.0,1200.0,40.0,0.0
1.0,5.0,4.0,18.0,9.0,82.0,20.0,0.0,31.0,74.0,71.0,2.0,438.0,13.0,28.0,273.0,149.0,260.0,149.0,24.0,16.0,10.0,5.0,4.0,3.0,8.0,7.0,11.0,6.0,16.0,11.0,3.0,25.0,25.0,13.0,5.0,4.0,1.0,2.0,3.0,12.0,40.0,23.0,18.0,31.0,21.0,10.0,110.0,9.0,48.0,7.0,103.0
8.0,34.0,12.0,21.0,170.0,40.0,47.0,10.0,127.0,19.0,109.0,13.0,13.0,19.0,7.0,13.0,18.0,6.0,23.0,13.0,24.0,9.0,14.0,12.0,12.0,10.0,7.0,8.0,14.0,9.0,11.0,6.0,11.0,11.0,9.0,25.0,10.0,6.0,11.0,18.0,15.0,12.0,12.0,28.0,13.0,65.0,63.0,5.0,7.0,24.0,24.0,19.0
85.0,20.0,21.0,27.0,28.0,22.0,19.0,152.0,14.0,63.0,13.0,25.0,19.0,43.0,55.0,7.0,27.0,16.0,7.0,1.0,4.0,4.0,0.0,0.0,2.0,1.0,5.0,60.0,28.0,78.0,45.0,45.0,28.0,66.0,6.0,16.0,37.0,13.0,44.0,9.0,7.0,20.0,24.0,15.0,56.0,59.0,94.0,59.0,35.0,95.0,46.0,31.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,0.0,1.0,4.0,5.0,4.0,3.0,6.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
67.0,31.0,13.0,2.0,1.0,1.0,4.0,2.0,7.0,2.0,13.0,4.0,3.0,5.0,0.0,0.0,5.0,8.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,2.0,5.0,4.0,5.0,6.0,8.0,2.0,2.0,2.0,15.0,9.0,0.0,11.0,30.0,22.0,24.0,73.0,76.0,413.0,19.0,49.0
129.0,36.0,54.0,278.0,76.0,118.0,151.0,54.0,143.0,123.0,557.0,0.0,700.0,477.0,144.0,396.0,2798.0,592.0,1180.0,626.0,146.0,20.0,18.0,17.0,3.0,6.0,6.0,3.0,42.0,111.0,474.0,159.0,364.0,544.0,382.0,362.0,318.0,253.0,587.0,476.0,60.0,113.0,155.0,90.0,313.0,334.0,319.0,126.0,299.0,435.0,101.0,700.0
22.0,16.0,13.0,8.0,10.0,9.0,10.0,10.0,15.0,15.0,18.0,11.0,31.0,14.0,12.0,16.0,18.0,23.0,13.0,24.0,20.0,35.0,19.0,17.0,23.0,19.0,16.0,25.0,19.0,12.0,28.0,24.0,34.0,34.0,38.0,33.0,24.0,29.0,18.0,37.0,18.0,16.0,14.0,6.0,19.0,16.0,7.0,25.0,11.0,8.0,10.0,14.0
19.0,20.0,69.0,29.0,21.0,78.0,15.0,29.0,92.0,72.0,96.0,116.0,108.0,60.0,163.0,39.0,25.0,18.0,17.0,4.0,13.0,32.0,15.0,19.0,33.0,6.0,16.0,1.0,9.0,8.0,3.0,34.0,29.0,10.0,18.0,20.0,10.0,18.0,43.0,46.0,54.0,9.0,28.0,28.0,21.0,61.0,262.0,260.0,39.0,49.0,46.0,84.0
1.0,0.0,1.0,2.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,8.0,7.0,4.0,8.0,3.0,6.0,2.0,8.0,2.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,7.0,7.0,7.0,2.0,0.0,0.0
1.0,0.0,2.0,3.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,5.0,3.0,12.0,12.0,10.0,20.0,14.0,30.0,24.0,38.0,25.0,26.0,30.0,15.0,14.0,23.0,19.0,11.0,13.0,9.0,14.0,19.0,10.0,13.0,5.0,2.0,4.0,4.0,0.0,1.0,3.0,1.0,2.0,2.0,3.0,0.0,7.0
7.0,9.0,9.0,11.0,15.0,14.0,8.0,13.0,7.0,6.0,10.0,9.0,9.0,12.0,16.0,16.0,17.0,23.0,13.0,10.0,35.0,26.0,22.0,27.0,35.0,33.0,29.0,28.0,21.0,23.0,20.0,18.0,20.0,12.0,11.0,7.0,13.0,10.0,11.0,22.0,38.0,19.0,14.0,16.0,8.0,13.0,15.0,10.0,13.0,13.0,16.0,12.0
287.0,568.0,176.0,359.0,45.0,1803.0,2107.0,540.0,5303.0,421.0,888.0,13.0,29.0,7.0,4.0,4.0,5.0,2.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,82.0,119.0,1663.0,1512.0,2724.0,798.0,2676.0,1479.0,1301.0,178.0
2.0,4.0,8.0,6.0,4.0,3.0,2.0,1.0,6.0,4.0,7.0,1.0,3.0,3.0,7.0,6.0,12.0,14.0,21.0,15.0,24.0,28.0,22.0,18.0,13.0,10.0,18.0,9.0,18.0,14.0,22.0,12.0,22.0,12.0,11.0,16.0,7.0,11.0,7.0,7.0,7.0,7.0,7.0,1.0,4.0,3.0,4.0,5.0,5.0,11.0,5.0,10.0
29.0,13.0,27.0,20.0,20.0,18.0,25.0,58.0,68.0,36.0,148.0,52.0,61.0,26.0,119.0,56.0,71.0,67.0,53.0,45.0,46.0,49.0,87.0,88.0,40.0,28.0,69.0,78.0,58.0,104.0,69.0,28.0,26.0,93.0,104.0,87.0,35.0,27.0,36.0,28.0,31.0,131.0,14.0,38.0,180.0,31.0,31.0,30.0,24.0,24.0,45.0,10.0
1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,7.0,4.0,4.0,9.0,13.0,13.0,7.0,8.0,11.0,5.0,10.0,12.0,7.0,8.0,23.0,12.0,18.0,16.0,9.0,19.0,11.0,6.0,3.0,6.0,5.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,19.0,48.0,13.0,8.0,7.0,2.0,14.0,10.0,0.0,13.0,6.0,21.0,9.0,2.0,28.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.0,262.0,90.0,330.0,314.0,558.0,44.0,242.0,434.0,22.0,88.0,611.0,118.0,29.0,200.0,78.0,99.0,32.0,9.0,23.0,19.0,13.0,28.0,28.0,17.0,5.0,21.0,35.0,23.0,40.0,12.0,21.0,22.0,133.0,186.0,46.0,68.0,120.0,332.0,386.0,586.0,170.0,272.0,323.0,75.0,5808.0,182.0,254.0,44.0,164.0,98.0,76.0
30.0,36.0,25.0,14.0,39.0,16.0,9.0,6.0,93.0,7.0,5.0,11.0,8.0,19.0,29.0,27.0,24.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,48.0,45.0,24.0,19.0,40.0,8.0,31.0,16.0,67.0,26.0,18.0,74.0,23.0,47.0,37.0,63.0,93.0,20.0,74.0,62.0,15.0,36.0,115.0,31.0
17.0,24.0,9.0,15.0,17.0,11.0,21.0,7.0,16.0,12.0,8.0,21.0,15.0,9.0,6.0,6.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,8.0,5.0,14.0,15.0,11.0,76.0,12.0,8.0,28.0,19.0,17.0
33.0,39.0,111.0,70.0,26.0,24.0,51.0,0.0,95.0,18.0,39.0,21.0,108.0,53.0,25.0,10.0,26.0,46.0,17.0,3.0,39.0,19.0,10.0,36.0,32.0,25.0,31.0,23.0,46.0,22.0,5.0,22.0,27.0,16.0,35.0,16.0,25.0,55.0,93.0,367.0,61.0,26.0,82.0,96.0,207.0,60.0,60.0,129.0,79.0,35.0,78.0,84.0
12.0,69.0,6.0,15.0,22.0,67.0,27.0,5.0,19.0,30.0,16.0,20.0,23.0,15.0,14.0,17.0,31.0,12.0,9.0,31.0,29.0,19.0,12.0,18.0,13.0,15.0,39.0,42.0,78.0,38.0,42.0,52.0,17.0,21.0,34.0,33.0,30.0,40.0,55.0,68.0,94.0,49.0,72.0,62.0,95.0,22.0,101.0,145.0,96.0,93.0,131.0,176.0
2.0,6.0,1.0,4.0,3.0,4.0,4.0,3.0,1.0,8.0,2.0,1.0,3.0,4.0,1.0,7.0,9.0,11.0,8.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,13.0,13.0,5.0,13.0,16.0,5.0,4.0,10.0,7.0,8.0,11.0,5.0,2.0,6.0,2.0,1.0,2.0,3.0,3.0,2.0,4.0,2.0,4.0,2.0
8.0,3.0,7.0,7.0,6.0,5.0,10.0,3.0,6.0,7.0,8.0,20.0,14.0,18.0,13.0,12.0,12.0,19.0,20.0,20.0,11.0,17.0,10.0,10.0,10.0,7.0,8.0,8.0,7.0,8.0,14.0,18.0,12.0,6.0,4.0,3.0,4.0,4.0,5.0,7.0,11.0,8.0,6.0,6.0,3.0,6.0,4.0,5.0,6.0,8.0,9.0,4.0
1.0,4.0,2.0,3.0,2.0,1.0,4.0,1.0,3.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,3.0,2.0,1.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,1.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
19.0,17.0,16.0,22.0,18.0,26.0,27.0,25.0,25.0,22.0,23.0,22.0,24.0,30.0,18.0,47.0,23.0,31.0,24.0,24.0,40.0,20.0,27.0,27.0,17.0,27.0,37.0,24.0,37.0,35.0,36.0,27.0,22.0,28.0,17.0,32.0,32.0,29.0,64.0,34.0,45.0,47.0,31.0,26.0,35.0,26.0,32.0,36.0,33.0,19.0,35.0,32.0
140.0,120.0,128.0,536.0,821.0,357.0,317.0,577.0,372.0,419.0,680.0,217.0,780.0,531.0,2068.0,649.0,79.0,277.0,87.0,1.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,6.0,1.0,3.0,24.0,6.0,4.0,6.0,36.0,25.0,248.0,87.0,271.0,85.0,984.0,538.0,412.0,74.0,694.0,670.0,827.0,645.0
