Week-1,Week-2,Week-3,Week-4,Week-5,Week-6,Week-7,Week-8,Week-9,Week-10,Week-11,Week-12,Week-13,Week-14,Week-18,Week-19,Week-20,Week-21,Week-22,Week-23,Week-24,Week-25,Week-26,Week-27,Week-28,Week-29,Week-30,Week-31,Week-32,Week-33,Week-34,Week-35,Week-36,Week-37,Week-38,Week-39,Week-40,Week-41,Week-42,Week-43,Week-44,Week-45,Week-46,Week-47,Week-48,Week-49,Week-50,Week-51,Week-52,Week-53
42,36,36,40,48,39,48,64,43,49,38,56,53,11,61,84,68,85,48,57,51,60,46,45,48,45,42,32,43,38,27,41,42,26,64,53,45,65,59,55,47,43,73,51,61,77,52,59,50,43
15,4,12,4,8,14,5,8,10,9,11,2,1,2,3,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,3,0,13,12,34,11,10,14,19,21,7,19,8,21,21
1,5,5,3,0,2,1,3,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,3,0,0,0,1,2,0,0,0,0,0,1,1,1,4,0,2,0,2,1,4,2,1,4,0,2
3,2,2,4,0,4,4,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,5,4,3,4,3,3,6,8,6,7,6,2
0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,2,3,1,0,2,1,3,3,2,3,2,7,1,3,1,4,0,0,2,1,0,1,0,1,1,1,2,1,0,0,2,1,1,0,0
0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,3,3,3,0,1,5,11,4,13,2,8,0,3,6,1,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0
1,0,0,1,3,0,0,0,0,0,0,1,0,1,0,2,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,4,1,1,0,1,2,2,0,1,0,1,0,0,0,0,0,0
15,23,18,12,5,6,20,16,16,6,1,1,3,0,0,2,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,2,3,1,0,0,0,0,6,17,6,21,11,43,45,41,53,63,34
12,7,7,16,6,11,12,22,16,8,4,7,4,4,6,18,14,19,13,11,15,10,16,11,11,12,9,13,13,16,8,8,7,10,22,12,10,12,14,8,15,16,7,7,14,12,3,9,15,4
